=== WEIGHTS ONLY ===
Total weights: 288,122,268
Zero weights: 287,047,559
Sparsity fraction: 0.9963 (99.63%)

=== ENTIRE MODEL (WEIGHTS + BIASES) ===
Total parameters: 288,998,553
Zero parameters: 287,777,302
Sparsity fraction: 0.9958 (99.58%)

=== PER-LAYER BREAKDOWN ===
0.weight: 12,155/12,320 zeros (98.66%)
2.weight: 32,816/51,968 zeros (63.15%)
4.weight: 14,616/14,848 zeros (98.44%)
6.weight: 13,232/13,312 zeros (99.40%)
8.weight: 41,392/41,600 zeros (99.50%)
10.weight: 42,188/42,400 zeros (99.50%)
12.weight: 43,036/43,248 zeros (99.51%)
14.weight: 43,848/44,064 zeros (99.51%)
16.weight: 44,712/44,928 zeros (99.52%)
18.weight: 45,540/45,760 zeros (99.52%)
20.weight: 46,420/46,640 zeros (99.53%)
22.weight: 47,264/47,488 zeros (99.53%)
24.weight: 48,160/48,384 zeros (99.54%)
26.weight: 49,020/49,248 zeros (99.54%)
28.weight: 49,932/50,160 zeros (99.55%)
30.weight: 50,808/51,040 zeros (99.55%)
32.weight: 51,736/51,968 zeros (99.55%)
34.weight: 74,896/75,264 zeros (99.51%)
36.weight: 99,120/99,456 zeros (99.66%)
38.weight: 100,204/100,640 zeros (99.57%)
40.weight: 112,412/112,880 zeros (99.59%)
42.weight: 124,031/124,500 zeros (99.62%)
44.weight: 149,125/149,625 zeros (99.67%)
46.weight: 163,089/163,590 zeros (99.69%)
48.weight: 164,320/164,820 zeros (99.70%)
50.weight: 165,126/165,624 zeros (99.70%)
52.weight: 165,952/166,448 zeros (99.70%)
54.weight: 165,960/166,448 zeros (99.71%)
56.weight: 165,964/166,448 zeros (99.71%)
58.weight: 164,368/164,832 zeros (99.72%)
60.weight: 162,744/163,200 zeros (99.72%)
62.weight: 140,370/140,800 zeros (99.69%)
64.weight: 100,994/101,376 zeros (99.62%)
66.weight: 82,464/82,944 zeros (99.42%)
68.weight: 73,440/73,728 zeros (99.61%)
70.weight: 81,283/81,664 zeros (99.53%)
72.weight: 91,553/91,872 zeros (99.65%)
74.weight: 91,206/91,584 zeros (99.59%)
76.weight: 91,266/91,584 zeros (99.65%)
78.weight: 90,636/91,008 zeros (99.59%)
80.weight: 90,692/91,008 zeros (99.65%)
82.weight: 89,496/89,856 zeros (99.60%)
84.weight: 89,544/89,856 zeros (99.65%)
86.weight: 87,216/87,552 zeros (99.62%)
88.weight: 87,248/87,552 zeros (99.65%)
90.weight: 73,410/73,728 zeros (99.57%)
92.weight: 73,248/73,728 zeros (99.35%)
94.weight: 73,440/73,728 zeros (99.61%)
96.weight: 81,283/81,664 zeros (99.53%)
98.weight: 91,553/91,872 zeros (99.65%)
100.weight: 91,206/91,584 zeros (99.59%)
102.weight: 91,266/91,584 zeros (99.65%)
104.weight: 90,636/91,008 zeros (99.59%)
106.weight: 90,692/91,008 zeros (99.65%)
108.weight: 89,496/89,856 zeros (99.60%)
110.weight: 89,544/89,856 zeros (99.65%)
112.weight: 87,216/87,552 zeros (99.62%)
114.weight: 87,248/87,552 zeros (99.65%)
116.weight: 73,410/73,728 zeros (99.57%)
118.weight: 85,552/86,016 zeros (99.46%)
120.weight: 99,120/99,456 zeros (99.66%)
122.weight: 100,204/100,640 zeros (99.57%)
124.weight: 112,412/112,880 zeros (99.59%)
126.weight: 124,031/124,500 zeros (99.62%)
128.weight: 149,125/149,625 zeros (99.67%)
130.weight: 163,089/163,590 zeros (99.69%)
132.weight: 164,320/164,820 zeros (99.70%)
134.weight: 165,126/165,624 zeros (99.70%)
136.weight: 165,952/166,448 zeros (99.70%)
138.weight: 165,960/166,448 zeros (99.71%)
140.weight: 165,964/166,448 zeros (99.71%)
142.weight: 164,368/164,832 zeros (99.72%)
144.weight: 162,744/163,200 zeros (99.72%)
146.weight: 140,370/140,800 zeros (99.69%)
148.weight: 100,994/101,376 zeros (99.62%)
150.weight: 82,464/82,944 zeros (99.42%)
152.weight: 73,440/73,728 zeros (99.61%)
154.weight: 81,283/81,664 zeros (99.53%)
156.weight: 91,553/91,872 zeros (99.65%)
158.weight: 91,206/91,584 zeros (99.59%)
160.weight: 91,266/91,584 zeros (99.65%)
162.weight: 90,636/91,008 zeros (99.59%)
164.weight: 90,692/91,008 zeros (99.65%)
166.weight: 89,496/89,856 zeros (99.60%)
168.weight: 89,544/89,856 zeros (99.65%)
170.weight: 87,216/87,552 zeros (99.62%)
172.weight: 87,248/87,552 zeros (99.65%)
174.weight: 73,410/73,728 zeros (99.57%)
176.weight: 73,248/73,728 zeros (99.35%)
178.weight: 73,440/73,728 zeros (99.61%)
180.weight: 81,283/81,664 zeros (99.53%)
182.weight: 91,553/91,872 zeros (99.65%)
184.weight: 91,206/91,584 zeros (99.59%)
186.weight: 91,266/91,584 zeros (99.65%)
188.weight: 90,636/91,008 zeros (99.59%)
190.weight: 90,692/91,008 zeros (99.65%)
192.weight: 89,496/89,856 zeros (99.60%)
194.weight: 89,544/89,856 zeros (99.65%)
196.weight: 87,216/87,552 zeros (99.62%)
198.weight: 87,248/87,552 zeros (99.65%)
200.weight: 73,410/73,728 zeros (99.57%)
202.weight: 85,552/86,016 zeros (99.46%)
204.weight: 99,120/99,456 zeros (99.66%)
206.weight: 100,204/100,640 zeros (99.57%)
208.weight: 112,412/112,880 zeros (99.59%)
210.weight: 124,031/124,500 zeros (99.62%)
212.weight: 149,125/149,625 zeros (99.67%)
214.weight: 163,089/163,590 zeros (99.69%)
216.weight: 164,320/164,820 zeros (99.70%)
218.weight: 165,126/165,624 zeros (99.70%)
220.weight: 165,952/166,448 zeros (99.70%)
222.weight: 165,960/166,448 zeros (99.71%)
224.weight: 165,964/166,448 zeros (99.71%)
226.weight: 164,368/164,832 zeros (99.72%)
228.weight: 162,744/163,200 zeros (99.72%)
230.weight: 140,370/140,800 zeros (99.69%)
232.weight: 100,994/101,376 zeros (99.62%)
234.weight: 82,464/82,944 zeros (99.42%)
236.weight: 73,440/73,728 zeros (99.61%)
238.weight: 81,283/81,664 zeros (99.53%)
240.weight: 91,553/91,872 zeros (99.65%)
242.weight: 91,206/91,584 zeros (99.59%)
244.weight: 91,266/91,584 zeros (99.65%)
246.weight: 90,636/91,008 zeros (99.59%)
248.weight: 90,692/91,008 zeros (99.65%)
250.weight: 89,496/89,856 zeros (99.60%)
252.weight: 89,544/89,856 zeros (99.65%)
254.weight: 87,216/87,552 zeros (99.62%)
256.weight: 87,248/87,552 zeros (99.65%)
258.weight: 73,410/73,728 zeros (99.57%)
260.weight: 73,248/73,728 zeros (99.35%)
262.weight: 73,440/73,728 zeros (99.61%)
264.weight: 81,283/81,664 zeros (99.53%)
266.weight: 91,553/91,872 zeros (99.65%)
268.weight: 91,206/91,584 zeros (99.59%)
270.weight: 91,266/91,584 zeros (99.65%)
272.weight: 90,636/91,008 zeros (99.59%)
274.weight: 90,692/91,008 zeros (99.65%)
276.weight: 89,496/89,856 zeros (99.60%)
278.weight: 89,544/89,856 zeros (99.65%)
280.weight: 87,216/87,552 zeros (99.62%)
282.weight: 87,248/87,552 zeros (99.65%)
284.weight: 73,410/73,728 zeros (99.57%)
286.weight: 85,552/86,016 zeros (99.46%)
288.weight: 99,120/99,456 zeros (99.66%)
290.weight: 100,204/100,640 zeros (99.57%)
292.weight: 112,412/112,880 zeros (99.59%)
294.weight: 124,031/124,500 zeros (99.62%)
296.weight: 149,125/149,625 zeros (99.67%)
298.weight: 163,089/163,590 zeros (99.69%)
300.weight: 164,320/164,820 zeros (99.70%)
302.weight: 165,126/165,624 zeros (99.70%)
304.weight: 165,952/166,448 zeros (99.70%)
306.weight: 165,960/166,448 zeros (99.71%)
308.weight: 165,964/166,448 zeros (99.71%)
310.weight: 164,368/164,832 zeros (99.72%)
312.weight: 162,744/163,200 zeros (99.72%)
314.weight: 140,370/140,800 zeros (99.69%)
316.weight: 100,994/101,376 zeros (99.62%)
318.weight: 82,464/82,944 zeros (99.42%)
320.weight: 73,440/73,728 zeros (99.61%)
322.weight: 81,283/81,664 zeros (99.53%)
324.weight: 91,553/91,872 zeros (99.65%)
326.weight: 91,206/91,584 zeros (99.59%)
328.weight: 91,266/91,584 zeros (99.65%)
330.weight: 90,636/91,008 zeros (99.59%)
332.weight: 90,692/91,008 zeros (99.65%)
334.weight: 89,496/89,856 zeros (99.60%)
336.weight: 89,544/89,856 zeros (99.65%)
338.weight: 87,216/87,552 zeros (99.62%)
340.weight: 87,248/87,552 zeros (99.65%)
342.weight: 73,410/73,728 zeros (99.57%)
344.weight: 73,248/73,728 zeros (99.35%)
346.weight: 73,440/73,728 zeros (99.61%)
348.weight: 81,283/81,664 zeros (99.53%)
350.weight: 91,553/91,872 zeros (99.65%)
352.weight: 91,206/91,584 zeros (99.59%)
354.weight: 91,266/91,584 zeros (99.65%)
356.weight: 90,636/91,008 zeros (99.59%)
358.weight: 90,692/91,008 zeros (99.65%)
360.weight: 89,496/89,856 zeros (99.60%)
362.weight: 89,544/89,856 zeros (99.65%)
364.weight: 87,216/87,552 zeros (99.62%)
366.weight: 87,248/87,552 zeros (99.65%)
368.weight: 73,410/73,728 zeros (99.57%)
370.weight: 85,552/86,016 zeros (99.46%)
372.weight: 99,120/99,456 zeros (99.66%)
374.weight: 100,204/100,640 zeros (99.57%)
376.weight: 112,412/112,880 zeros (99.59%)
378.weight: 124,031/124,500 zeros (99.62%)
380.weight: 149,125/149,625 zeros (99.67%)
382.weight: 163,089/163,590 zeros (99.69%)
384.weight: 164,320/164,820 zeros (99.70%)
386.weight: 165,126/165,624 zeros (99.70%)
388.weight: 165,952/166,448 zeros (99.70%)
390.weight: 165,960/166,448 zeros (99.71%)
392.weight: 165,964/166,448 zeros (99.71%)
394.weight: 164,368/164,832 zeros (99.72%)
396.weight: 162,744/163,200 zeros (99.72%)
398.weight: 140,370/140,800 zeros (99.69%)
400.weight: 100,994/101,376 zeros (99.62%)
402.weight: 82,464/82,944 zeros (99.42%)
404.weight: 73,440/73,728 zeros (99.61%)
406.weight: 81,283/81,664 zeros (99.53%)
408.weight: 91,553/91,872 zeros (99.65%)
410.weight: 91,206/91,584 zeros (99.59%)
412.weight: 91,266/91,584 zeros (99.65%)
414.weight: 90,636/91,008 zeros (99.59%)
416.weight: 90,692/91,008 zeros (99.65%)
418.weight: 89,496/89,856 zeros (99.60%)
420.weight: 89,544/89,856 zeros (99.65%)
422.weight: 87,216/87,552 zeros (99.62%)
424.weight: 87,248/87,552 zeros (99.65%)
426.weight: 73,410/73,728 zeros (99.57%)
428.weight: 73,248/73,728 zeros (99.35%)
430.weight: 73,440/73,728 zeros (99.61%)
432.weight: 81,283/81,664 zeros (99.53%)
434.weight: 91,553/91,872 zeros (99.65%)
436.weight: 91,206/91,584 zeros (99.59%)
438.weight: 91,266/91,584 zeros (99.65%)
440.weight: 90,636/91,008 zeros (99.59%)
442.weight: 90,692/91,008 zeros (99.65%)
444.weight: 89,496/89,856 zeros (99.60%)
446.weight: 89,544/89,856 zeros (99.65%)
448.weight: 87,216/87,552 zeros (99.62%)
450.weight: 87,248/87,552 zeros (99.65%)
452.weight: 73,410/73,728 zeros (99.57%)
454.weight: 85,552/86,016 zeros (99.46%)
456.weight: 99,120/99,456 zeros (99.66%)
458.weight: 100,204/100,640 zeros (99.57%)
460.weight: 112,412/112,880 zeros (99.59%)
462.weight: 124,031/124,500 zeros (99.62%)
464.weight: 149,125/149,625 zeros (99.67%)
466.weight: 163,089/163,590 zeros (99.69%)
468.weight: 164,320/164,820 zeros (99.70%)
470.weight: 165,126/165,624 zeros (99.70%)
472.weight: 165,952/166,448 zeros (99.70%)
